Fireblade Artist; 0.04; common; 0.1
Elenda, the Dusk Rose; 5.34; mythic; 15.9
Ingenious Skaab; 0.02; common; 0.08
Wilt-Leaf Liege; 0.42; rare; 1.24
Unearth; 0.05; common; 0.75
Panharmonicon; 3.8; rare; 7.99
City of Brass; 13.0; rare; 26.99
Green Sun's Zenith; 11.45; rare; 21.9
Last Breath; 0.02; common; 0.09
Deranged Assistant; 0.02; common; 0.1
Knightly Valor; 0.02; common; 0.09
Atla Palani, Nest Tender; 0.2; rare; 0.7
Psychic Symbiont; 0.05; uncommon; 0.13
Assassin's Trophy; 5.4; rare; 11.5
Titan's Strength; 0.02; common; 0.1
Sedraxis Specter; 0.05; uncommon; 0.12
Bedlam Reveler; 0.24; rare; 1.47
Shadowborn Apostle; 1.44; common; 2.9
Coldsteel Heart; 0.4; uncommon; 2.88
Auger Spree; 0.02; common; 0.08
Livewire Lash; 0.1; uncommon; 0.2
Necrotic Ooze; 0.74; rare; 2.24
Dreamshaper Shaman; 0.05; uncommon; 0.12
Warrior's Oath; 18.7; mythic; 58.9
Dromoka's Command; 0.4; rare; 1.24
Pull from Tomorrow; 0.11; rare; 0.98
Living Lightning; 0.02; common; 0.1
Heroic Reinforcements; 0.05; uncommon; 0.12
Allosaurus Shepherd; 29.5; mythic; 59.95
Thistledown Liege; 0.14; rare; 0.95
Hydroid Krasis; 3.92; rare; 8.45
Liliana's Elite; 0.02; common; 0.1
Dragonlord Dromoka; 6.95; mythic; 16.84
Bloodwater Entity; 0.02; common; 0.2
Rishkar, Peema Renegade; 0.11; rare; 0.69
Conclave Mentor; 0.05; uncommon; 0.2
Mentor of the Meek; 0.17; uncommon; 0.4
Varina, Lich Queen; 0.18; rare; 0.45
Kaalia of the Vast; 8.46; mythic; 14.8
Bant Charm; 0.05; uncommon; 0.19
Anguished Unmaking; 1.85; rare; 4.89
Skinrender; 0.05; uncommon; 0.12
Thrumming Stone; 9.55; rare; 18.0
Burning-Tree Emissary; 0.08; common; 0.8
Skeleton Archer; 0.02; common; 0.1
Deadly Recluse; 0.02; common; 0.1
Chaos Warp; 0.44; rare; 3.9
As Foretold; 4.0; mythic; 8.47
Weathered Wayfarer; 2.32; rare; 5.9
Wall of Omens; 0.13; uncommon; 1.2
Arjun, the Shifting Flame; 0.18; rare; 1.5
Dockside Extortionist; 40.84; mythic; 84.9
Ulamog, the Infinite Gyre; 25.49; mythic; 41.9
Thrive; 0.02; common; 0.1
Concordant Crossroads; 21.85; mythic; 37.9
Fiery Justice; 0.09; rare; 0.4
Forbidden Orchard; 4.33; rare; 12.99
Phyrexian Altar; 25.9; rare; 41.5
Arachnus Spinner; 0.05; uncommon; 0.18
Advanced Stitchwing; 0.04; common; 0.1
Grand Arbiter Augustin IV; 4.2; rare; 8.0
Smothering Tithe; 14.24; rare; 27.9
Sensei's Divining Top; 16.32; rare; 34.99
Arachnus Web; 0.02; common; 0.1
Lord of Extinction; 1.82; mythic; 4.45
Sultai Soothsayer; 0.05; uncommon; 0.1
Karador, Ghost Chieftain; 1.18; mythic; 2.93
Eternal Witness; 0.85; uncommon; 2.5
Thraximundar; 0.14; rare; 1.48
Rakdos Carnarium; 0.05; uncommon; 0.3
Balustrade Spy; 0.02; common; 0.1
Azorius Chancery; 0.05; uncommon; 0.39
Disfigure; 0.02; common; 0.1
Mathas, Fiend Seeker; 0.87; rare; 1.96
Lyev Skyknight; 0.02; common; 0.1
Wrenn and Six; 59.26; mythic; 150.0
Severed Strands; 0.02; common; 0.1
Relief Captain; 0.02; common; 0.09
Roon of the Hidden Realm; 0.17; rare; 1.2
Abzan Charm; 0.06; uncommon; 0.3
Deathbringer Liege; 0.17; rare; 1.48
Orzhov Pontiff; 0.11; uncommon; 0.7
Might of Old Krosa; 0.07; common; 0.4
Master of Cruelties; 2.72; mythic; 9.85
Doran, the Siege Tower; 0.89; rare; 3.46
Kasmina's Transmutation; 0.02; common; 0.1
Bloodforged Battle-Axe; 5.16; rare; 13.0
Yahenni, Undying Partisan; 1.45; rare; 3.9
Grim Flayer; 1.22; rare; 3.71
Summer Bloom; 0.45; uncommon; 2.9
Deep Analysis; 0.04; common; 0.1
Eyeblight's Ending; 0.02; common; 0.1
Dack's Duplicate; 0.2; rare; 1.99
Unburial Rites; 0.05; uncommon; 0.2
