Rancor; 0.05; uncommon; 0.3
Rift Bolt; 0.01; common; 0.02
Balefire Liege; 0.1; rare; 0.38
Bounty of the Luxa; 0.02; uncommon; 0.09
Deadly Recluse; 0.01; common; 0.02
Vampire Sovereign; 0.01; common; 0.02
Nephalia Smuggler; 0.02; uncommon; 0.02
Crucible of Worlds; 13.5; mythic; 20.0
Anointer of Valor; 0.01; common; 0.02
Sensor Splicer; 0.01; common; 0.02
Inquisition of Kozilek; 0.4; uncommon; 0.49
Go for the Throat; 0.02; uncommon; 0.11
Surgical Extraction; 5.99; rare; 11.19
Grim Flayer; 0.45; rare; 2.44
Thrive; 0.01; common; 0.02
Arachnus Web; 0.01; common; 0.02
Travel Preparations; 0.02; uncommon; 0.02
Psychic Symbiont; 0.02; uncommon; 0.02
Lightning Helix; 0.02; uncommon; 0.15
Yahenni, Undying Partisan; 0.5; rare; 1.9
Titan's Strength; 0.01; common; 0.02
Reveillark; 0.02; rare; 0.32
Creakwood Liege; 0.66; rare; 3.0
Arjun, the Shifting Flame; 0.02; rare; 0.6
Flickerwisp; 0.02; uncommon; 0.05
Sensei's Divining Top; 12.25; rare; 27.5
Bitterblossom; 17.5; mythic; 23.74
Battlefield Promotion; 0.01; common; 0.02
Ashenmoor Liege; 0.05; rare; 0.9
Uril, the Miststalker; 0.95; mythic; 6.5
Militia Bugler; 0.02; common; 0.02
Restoration Angel; 0.08; rare; 1.29
Mathas, Fiend Seeker; 0.13; rare; 0.94
Ruric Thar, the Unbowed; 0.05; rare; 0.35
Glen Elendra Liege; 0.08; rare; 0.25
Bear's Companion; 0.02; uncommon; 0.03
Alesha, Who Smiles at Death; 0.06; rare; 0.28
Master Biomancer; 0.07; rare; 0.29
Thought Scour; 0.02; common; 0.02
Azorius Chancery; 0.02; uncommon; 0.1
Master of Cruelties; 1.39; mythic; 4.49
Wall of Omens; 0.02; uncommon; 0.1
Traveler's Amulet; 0.01; common; 0.02
Last Breath; 0.01; common; 0.02
Kruin Striker; 0.01; common; 0.02
Karador, Ghost Chieftain; 0.45; mythic; 1.5
Firemind Vessel; 0.02; uncommon; 0.02
Civic Saber; 0.02; uncommon; 0.04
Heroic Reinforcements; 0.02; uncommon; 0.02
Leonin Arbiter; 0.28; rare; 1.35
Oona's Prowler; 0.05; rare; 0.2
Force of Negation; 38.5; rare; 47.0
League Guildmage; 0.02; uncommon; 0.02
Lightning Bolt; 0.3; uncommon; 0.8
Legion's Initiative; 0.1; rare; 0.3
Kozilek, Butcher of Truth; 24.25; mythic; 32.5
Monastery Mentor; 6.0; mythic; 12.0
Blazing Hellhound; 0.02; uncommon; 0.03
Greater Gargadon; 0.04; rare; 0.15
Nim Deathmantle; 0.9; rare; 3.0
Divine Visitation; 2.9; mythic; 5.0
Pull from Tomorrow; 0.05; rare; 0.4
Advanced Stitchwing; 0.02; common; 0.02
Emrakul, the Aeons Torn; 18.7; mythic; 25.85
Young Pyromancer; 0.05; uncommon; 0.14
Orzhov Pontiff; 0.02; uncommon; 0.09
Doran, the Siege Tower; 0.1; rare; 1.15
Weathered Wayfarer; 1.0; rare; 2.98
